"ï»¿""Student""",Subject,Mastered Lessons vs. 2X Learning,Essential Lessons Mastered,Lessons to Catch Up to 2X
Anon#043,Language,0.712871287128713,4,1.6111111111111107
Anon#153,Language,0.18181818181818182,1,4.5
Anon#384,Language,0.3564356435643565,2,3.6111111111111107
Anon#392,Language,0.4778761061946903,3,3.2777777777777777
Anon#450,Language,1.0909090909090908,6,0
Anon#462,Language,0.8840864440078585,5,0.6555555555555559
Anon#783,Language,5.80078125,33,0
Anon#804,Language,1.0188679245283019,6,0
Anon#813,Language,0.39560439560439564,2,3.0555555555555554
Anon#843,Language,0.3185840707964602,2,4.277777777777778
Anon#846,Language,0.1592920353982301,1,5.277777777777778
Anon#859,Language,0,0,5.611111111111111
Anon#875,Language,0.19780219780219782,1,4.055555555555555
Anon#1044,Language,0.19780219780219782,1,4.055555555555555
Anon#1046,Language,0.17821782178217824,1,4.611111111111111
Anon#1073,Language,0.1592920353982301,1,5.277777777777778
Anon#1093,Language,0.18181818181818182,1,4.5
Anon#1099,Language,0.3185840707964602,2,4.277777777777778
Anon#1154,Language,0,0,5.611111111111111
Anon#1326,Language,0,0,5.5
Anon#1807,Language,0.39560439560439564,2,3.0555555555555554
Anon#1832,Language,0.33962264150943394,2,3.8888888888888893
Anon#1871,Language,0.4778761061946903,3,3.2777777777777777
Anon#1897,Language,0.7272727272727273,4,1.5
Anon#1903,Language,2.254335260115607,13,0
Anon#1920,Language,0.5454545454545454,3,2.5
Anon#1921,Language,0.18181818181818182,1,4.5
Anon#1981,Language,0.3185840707964602,2,4.277777777777778
Anon#2312,Language,0.39560439560439564,2,3.0555555555555554
Anon#2318,Language,1.603960396039604,9,0
Anon#2402,Language,0.7272727272727273,4,1.5
Anon#043,Math,0.3439490445859873,3,5.722222222222221
Anon#090,Math,0.24573378839590443,2,6.138888888888889
Anon#096,Math,0.6338028169014085,5,2.8888888888888884
Anon#098,Math,1.075519386236937,8,0
Anon#135,Math,0.47368421052631576,4,4.444444444444445
Anon#147,Math,0.6632277081798085,5,2.538888888888888
Anon#220,Math,1.2162162162162162,10,0
Anon#276,Math,0.6878980891719746,6,2.7222222222222214
Anon#306,Math,1.3757961783439492,12,0
Anon#334,Math,0.2737642585551331,2,5.305555555555555
Anon#332,Math,1.0140845070422535,8,0
Anon#336,Math,0,0,6.833333333333334
Anon#347,Math,0.584771573604061,4,2.8402777777777777
Anon#353,Math,0,0,7.222222222222222
Anon#392,Math,0.6398107297681185,5,2.8148111111111103
Anon#395,Math,0.2608695652173913,2,5.666666666666667
Anon#450,Math,0.993103448275862,8,0.05555555555555536
Anon#472,Math,0.11842105263157894,1,7.444444444444445
Anon#482,Math,6.341724374195116,38,0
Anon#489,Math,2.040945524707252,12,0
Anon#497,Math,1.0684933946331951,8,0
Anon#498,Math,1.0140845070422535,8,0
Anon#501,Math,0.35064935064935066,3,5.555555555555555
Anon#526,Math,0.12328767123287672,1,7.111111111111111
Anon#532,Math,0.6338028169014085,5,2.8888888888888884
Anon#612,Math,0.14634146341463414,1,5.833333333333334
Anon#640,Math,0.2482758620689655,2,6.055555555555555
Anon#647,Math,2.6124818577648763,20,0
Anon#708,Math,0.11464968152866244,1,7.722222222222221
Anon#710,Math,1.14,19,0
Anon#719,Math,0.26277372262773724,2,5.611111111111111
Anon#758,Math,0.3724137931034483,3,5.055555555555555
Anon#783,Math,4.043478260869565,31,0
Anon#804,Math,0.9310344827586207,6,0.44444444444444464
Anon#822,Math,0.8181818181818182,7,1.5555555555555554
Anon#843,Math,0.3439490445859873,3,5.722222222222221
Anon#848,Math,4.462809917355371,30,0
Anon#859,Math,0.13138686131386862,1,6.611111111111111
Anon#878,Math,0.48913043478260876,5,5.222222222222221
Anon#887,Math,11.299559471365638,57,0
Anon#891,Math,9.321428571428571,29,0
Anon#910,Math,0,0,7.888888888888888
Anon#919,Math,0.8873239436619719,7,0.8888888888888884
Anon#1044,Math,0.11464968152866244,1,7.722222222222221
Anon#1046,Math,0.2608695652173913,2,5.666666666666667
Anon#1064,Math,0.15517241379310345,1,5.444444444444445
Anon#1073,Math,0.11464968152866244,1,7.722222222222221
Anon#1088,Math,2.3309352517985613,18,0
Anon#1122,Math,0.6130790190735695,5,3.155555555555555
Anon#1143,Math,0.3404989444532722,2,3.873733333333333
Anon#1145,Math,1.7727278482882627,7,0
Anon#1164,Math,0.45378151260504207,3,3.6111111111111107
Anon#1176,Math,0,0,8.444444444444445
Anon#1184,Math,9.818181818181817,66,0
Anon#1185,Math,10.267605633802818,81,0
Anon#1208,Math,1.0483943185764553,8,0
Anon#1232,Math,0.11688311688311688,1,7.555555555555555
Anon#1253,Math,0.9075630252100841,6,0.6111111111111107
Anon#1338,Math,0.7448275862068966,6,2.0555555555555554
Anon#1372,Math,4.197761194029851,25,0
Anon#1407,Math,0.2535211267605634,2,5.888888888888888
Anon#1410,Math,0,0,8.365077777777778
Anon#1422,Math,6.464788732394367,51,0
Anon#1547,Math,0,0,6.611111111111111
Anon#1551,Math,6.269387755102041,32,0
Anon#1563,Math,1.4876033057851237,10,0
Anon#1583,Math,0.4675324675324675,4,4.555555555555555
Anon#1587,Math,0.22929936305732487,2,6.722222222222221
Anon#1589,Math,2.3076923076923075,15,0
Anon#1601,Math,0.5538461538461539,4,3.2222222222222223
Anon#1604,Math,1.636363636363636,11,0
Anon#1634,Math,1.776315789473684,15,0
Anon#1638,Math,0.9075630252100841,6,0.6111111111111107
Anon#1705,Math,0.5853658536585366,4,2.833333333333334
Anon#1760,Math,0,0,6.722222222222223
Anon#1803,Math,1.4634146341463414,10,0
Anon#1807,Math,0.24657534246575344,2,6.111111111111111
Anon#1814,Math,0.3802816901408451,3,4.888888888888888
Anon#1819,Math,0,0,8.444444444444445
Anon#1832,Math,0.6206896551724138,4,2.4444444444444446
Anon#1845,Math,1.10580204778157,9,0
Anon#1847,Math,1.1189568559246348,9,0
Anon#1858,Math,0.25531914893617025,2,5.833333333333333
Anon#1871,Math,1.1464968152866244,10,0
Anon#1897,Math,0.8689655172413794,7,1.0555555555555554
Anon#1903,Math,1.5652173913043477,12,0
Anon#1917,Math,1.1408450704225352,9,0
Anon#1920,Math,0.45859872611464975,4,4.722222222222221
Anon#1921,Math,0.15517241379310345,1,5.444444444444445
Anon#1926,Math,0.12413793103448276,1,7.055555555555555
Anon#1935,Math,8.651938481733968,29,0
Anon#1951,Math,0.935064935064935,8,0.5555555555555554
Anon#1958,Math,0,0,8
Anon#1965,Math,0.62882096069869,4,2.3611111111111107
Anon#1966,Math,0.8181818181818182,7,1.5555555555555554
Anon#1978,Math,0.6844106463878327,5,2.3055555555555554
Anon#1981,Math,0.3439490445859873,3,5.722222222222221
Anon#2101,Math,0.2884197083596049,2,4.934338888888889
Anon#2185,Math,0,0,7.888888888888888
Anon#2212,Math,1.3026315789473684,11,0
Anon#2228,Math,0,0,8.555555555555555
Anon#2229,Math,0.35409836065573774,3,5.472222222222221
Anon#2245,Math,0.9818184368359576,7,0.12962777777777834
Anon#2253,Math,0,0,8.435183333333335
Anon#2272,Math,0,0,6.722222222222223
Anon#2290,Math,0.9491525423728814,7,0.375
Anon#2301,Math,0.12765957446808512,1,6.833333333333333
Anon#2304,Math,0,0,6.722222222222223
Anon#2307,Math,1.5211267605633805,12,0
Anon#2312,Math,0.24657534246575344,2,6.111111111111111
Anon#2318,Math,0.7448275862068966,6,2.0555555555555554
Anon#2334,Math,2.7790973871733966,13,0
Anon#2338,Math,0.35064935064935066,3,5.555555555555555
Anon#2360,Math,0.9692307692307692,7,0.22222222222222232
Anon#2361,Math,0,0,6.722222222222223
Anon#2364,Math,0.2535211267605634,2,5.888888888888888
Anon#2379,Math,0,0,8.555555555555555
Anon#2402,Math,0.3724137931034483,3,5.055555555555555
Anon#043,Reading,1.3,13,0
Anon#045,Reading,2.9571428571428573,23,0
Anon#137,Reading,0.38571428571428573,3,4.777777777777778
Anon#285,Reading,0.38571428571428573,3,4.777777777777778
Anon#306,Reading,0.1285714285714286,1,6.777777777777778
Anon#367,Reading,0,0,7.777777777777778
Anon#392,Reading,1.4,14,0
Anon#397,Reading,0,0,7.777777777777778
Anon#522,Reading,0.2571428571428572,2,5.777777777777778
Anon#708,Reading,0.40909090909090906,5,7.222222222222223
Anon#778,Reading,1.4142857142857144,11,0
Anon#783,Reading,0.38571428571428573,3,4.777777777777778
Anon#791,Reading,0,0,7.777777777777778
Anon#804,Reading,0.5142857142857143,4,3.7777777777777777
Anon#813,Reading,0.38571428571428573,3,4.777777777777778
Anon#846,Reading,0.2571428571428572,2,5.777777777777778
Anon#859,Reading,0,0,7.777777777777778
Anon#875,Reading,0.1285714285714286,1,6.777777777777778
Anon#1044,Reading,0.1285714285714286,1,6.777777777777778
Anon#1046,Reading,0.1,1,9
Anon#1073,Reading,0.1285714285714286,1,6.777777777777778
Anon#1093,Reading,0.6428571428571429,5,2.7777777777777777
Anon#1099,Reading,0.2571428571428572,2,5.777777777777778
Anon#1154,Reading,0,0,10
Anon#1478,Reading,0,0,7.777777777777778
Anon#1524,Reading,0.1285714285714286,1,6.777777777777778
Anon#1587,Reading,0.1285714285714286,1,6.777777777777778
Anon#1807,Reading,0.38571428571428573,3,4.777777777777778
Anon#1832,Reading,0.5142857142857143,4,3.7777777777777777
Anon#1897,Reading,0.2571428571428572,2,5.777777777777778
Anon#1903,Reading,0,0,7.777777777777778
Anon#1920,Reading,0.1285714285714286,1,6.777777777777778
Anon#1921,Reading,0.1285714285714286,1,6.777777777777778
Anon#1981,Reading,0.38571428571428573,3,4.777777777777778
Anon#1985,Reading,0,0,7.777777777777778
Anon#2312,Reading,0.1285714285714286,1,6.777777777777778
Anon#2318,Reading,0.38571428571428573,3,4.777777777777778
Anon#2402,Reading,0.38571428571428573,3,4.777777777777778
Anon#153,Science,0.2950819672131147,1,2.3888888888888893
Anon#336,Science,0.6067415730337078,3,1.9444444444444446
Anon#450,Science,5.379310344827586,13,0
Anon#522,Science,0.30000000000000004,1,2.333333333333333
Anon#804,Science,1.6488549618320612,6,0
Anon#813,Science,0.8089887640449438,4,0.9444444444444446
Anon#859,Science,0.22499999999999998,1,3.4444444444444446
Anon#1099,Science,0.22499999999999998,1,3.4444444444444446
Anon#1445,Science,1.6179775280898876,8,0
Anon#1587,Science,0.44999999999999996,2,2.4444444444444446
Anon#1803,Science,1.0112359550561798,5,0
Anon#1807,Science,0.6000000000000001,2,1.333333333333333
Anon#1897,Science,0.22499999999999998,1,3.4444444444444446
Anon#1903,Science,1.125,5,0
Anon#1920,Science,0.2950819672131147,1,2.3888888888888893
Anon#1981,Science,1.125,5,0
Anon#2312,Science,0.8089887640449438,4,0.9444444444444446
Anon#2409,Science,0.4675324675324675,2,2.2777777777777777
Anon#612,Social Studies,0.27272727272727276,1,2.6666666666666665
