"ï»¿""Student""",Subject,Estimated Waste
Anon#043,Language,0.3
Anon#153,Language,0.3
Anon#288,Language,0.3
Anon#405,Language,0.3
Anon#450,Language,0.3
Anon#710,Language,0.3
Anon#783,Language,0.3
Anon#843,Language,0.3
Anon#875,Language,0.3
Anon#996,Language,0.3
Anon#1046,Language,0.3
Anon#1093,Language,0.3
Anon#1100,Language,0.3
Anon#1154,Language,0.3
Anon#1326,Language,0.3
Anon#1587,Language,0.3
Anon#1807,Language,0.3
Anon#1832,Language,0.3
Anon#1897,Language,0.3
Anon#1920,Language,0.3
Anon#1921,Language,0.3
Anon#1981,Language,0.3
Anon#2312,Language,0.3
Anon#2402,Language,0.3
,Math,0.3
Anon#043,Math,0.3
Anon#090,Math,0.6
Anon#096,Math,0.8
Anon#098,Math,0.3
Anon#104,Math,0.3
Anon#147,Math,0.9
Anon#224,Math,0.3
Anon#276,Math,0.3
Anon#285,Math,0.3
Anon#288,Math,0.3
Anon#306,Math,0.3
Anon#329,Math,0.9
Anon#334,Math,0.9
Anon#374,Math,0.3
Anon#395,Math,0.3
Anon#450,Math,0.3
Anon#482,Math,0.8
Anon#489,Math,0.9
Anon#497,Math,0.8
Anon#498,Math,0.9
Anon#501,Math,0.3
Anon#553,Math,0.3
Anon#612,Math,0.3
Anon#647,Math,0.9
Anon#708,Math,0.3
Anon#783,Math,0.5
Anon#822,Math,0.9
Anon#843,Math,0.3
Anon#848,Math,0.9
Anon#887,Math,0.8
Anon#996,Math,0.3
Anon#1073,Math,0.9
Anon#1088,Math,0.9
Anon#1093,Math,0.3
Anon#1099,Math,0.3
Anon#1100,Math,0.3
Anon#1120,Math,0
Anon#1122,Math,0.9
Anon#1143,Math,0.9
Anon#1145,Math,0.9
Anon#1164,Math,0
Anon#1184,Math,0.9
Anon#1208,Math,0.8
Anon#1253,Math,0.5
Anon#1372,Math,0.9
Anon#1422,Math,0.9
Anon#1522,Math,0.9
Anon#1529,Math,0.9
Anon#1551,Math,0.8
Anon#1563,Math,0.8
Anon#1583,Math,0.9
Anon#1589,Math,0.3
Anon#1604,Math,0.9
Anon#1634,Math,0.9
Anon#1638,Math,0.3
Anon#1645,Math,0.8
Anon#1705,Math,0.3
Anon#1803,Math,0.3
Anon#1807,Math,0.3
Anon#1814,Math,0.9
Anon#1832,Math,0.3
Anon#1845,Math,0.9
Anon#1858,Math,0.3
Anon#1897,Math,0.3
Anon#1917,Math,0.9
Anon#1935,Math,0.9
Anon#1958,Math,0.9
Anon#1965,Math,0.6
Anon#1981,Math,0.3
Anon#2101,Math,0.9
Anon#2108,Math,0.3
Anon#2185,Math,0.9
Anon#2227,Math,0.9
Anon#2245,Math,0.9
Anon#2253,Math,0.3
Anon#2272,Math,0.9
Anon#2290,Math,0.9
Anon#2292,Math,0.9
Anon#2301,Math,0.9
Anon#2307,Math,0.9
Anon#2308,Math,0.9
Anon#2312,Math,0.3
Anon#2334,Math,0.8
Anon#2360,Math,0.3
Anon#2379,Math,0.3
Anon#2402,Math,0.3
Anon#285,Reading,0.3
Anon#306,Reading,0.3
Anon#522,Reading,0.3
Anon#783,Reading,0.3
Anon#875,Reading,0.3
Anon#1093,Reading,0.3
Anon#1099,Reading,0.3
Anon#1587,Reading,0.3
Anon#1807,Reading,0.3
Anon#1832,Reading,0.3
Anon#1897,Reading,0.3
Anon#1920,Reading,0.3
Anon#1921,Reading,0.3
Anon#1981,Reading,0.3
Anon#2312,Reading,0.3
Anon#2402,Reading,0.3
,Science,0.3
Anon#306,Science,0.3
Anon#336,Science,0.3
Anon#450,Science,0.3
Anon#522,Science,0.3
Anon#612,Science,0.3
Anon#875,Science,0.3
Anon#1093,Science,0.3
Anon#1803,Science,0.3
Anon#1807,Science,0.3
Anon#1832,Science,0.3
Anon#1897,Science,0.3
Anon#1920,Science,0.3
Anon#1921,Science,0.3
Anon#1981,Science,0.3
Anon#2312,Science,0.3
Anon#612,Social Studies,0.3
Anon#1921,Social Studies,0.3
