"ï»¿""Student""",Subject,Knowledge Grade,Essential Lessons Mastered,Essential Lessons Remaining Before Next Grade,% Grade Completed,Weeks to complete at 25 mins/day
Anon#043,Language,2,27,74,0.26732673267326734,4.933333333333334
Anon#153,Language,4,6,93,0.06060606060606061,18.6
Anon#285,Language,6,30,68,0.30612244897959184,13.6
Anon#384,Language,2,93,8,0.9207920792079208,0.5333333333333333
Anon#392,Language,3,5,108,0.04424778761061947,10.8
Anon#397,Language,5,34,57,0.37362637362637363,11.4
Anon#450,Language,4,22,77,0.2222222222222222,15.4
Anon#462,Language,3,113,0,1,0
Anon#462,Language,4,24,75,0.24242424242424243,15
Anon#710,Language,8,19,87,0.1792452830188679,17.4
Anon#783,Language,1,1,107,0.009259259259259259,7.133333333333334
Anon#783,Language,2,32,69,0.31683168316831684,4.6
Anon#804,Language,8,95,11,0.8962264150943396,2.2
Anon#813,Language,5,59,32,0.6483516483516484,6.4
Anon#843,Language,3,59,54,0.5221238938053098,5.4
Anon#846,Language,3,15,98,0.13274336283185842,9.8
Anon#859,Language,2,0,101,0,6.733333333333333
Anon#875,Language,5,63,28,0.6923076923076923,5.6
Anon#996,Language,0,8,107,0.06956521739130435,7.133333333333334
Anon#1044,Language,5,4,87,0.04395604395604396,17.4
Anon#1046,Language,2,13,88,0.12871287128712872,5.866666666666666
Anon#1050,Language,6,3,95,0.030612244897959183,19
Anon#1073,Language,3,17,96,0.1504424778761062,9.6
Anon#1093,Language,4,89,10,0.898989898989899,2
Anon#1099,Language,3,8,105,0.07079646017699115,10.5
Anon#1100,Language,4,3,96,0.030303030303030304,19.2
Anon#1154,Language,2,101,0,1,0
Anon#1326,Language,4,94,5,0.9494949494949495,1
Anon#1807,Language,5,36,55,0.3956043956043956,11
Anon#1832,Language,8,86,20,0.8113207547169812,4
Anon#1871,Language,3,26,87,0.23008849557522124,8.7
Anon#1897,Language,4,20,79,0.20202020202020202,15.8
Anon#1903,Language,1,4,104,0.037037037037037035,6.933333333333334
Anon#1903,Language,2,9,92,0.0891089108910891,6.133333333333334
Anon#1920,Language,4,36,63,0.36363636363636365,12.6
Anon#1921,Language,10,41,58,0.41414141414141414,11.6
Anon#1981,Language,3,13,100,0.11504424778761062,10
Anon#2092,Language,3,21,92,0.18584070796460178,9.2
Anon#2312,Language,5,54,37,0.5934065934065934,7.4
Anon#2318,Language,2,76,25,0.7524752475247525,1.6666666666666667
Anon#2402,Language,4,13,86,0.13131313131313133,17.2
Anon#043,Math,3,48,109,0.3057324840764331,7.266666666666667
Anon#276,Math,3,6,151,0.03821656050955414,10.066666666666666
Anon#285,Math,5,17,129,0.11643835616438356,12.9
Anon#306,Math,3,138,19,0.8789808917197452,1.2666666666666666
Anon#336,Math,6,123,0,1,0
Anon#392,Math,1,12,126,0.08695652173913043,8.4
Anon#392,Math,2,9,128,0.06569343065693431,8.533333333333333
Anon#392,Math,3,2,155,0.012738853503184714,10.333333333333334
Anon#395,Math,1,2,136,0.014492753623188406,9.066666666666666
Anon#397,Math,3,48,109,0.3057324840764331,7.266666666666667
Anon#450,Math,4,76,69,0.5241379310344828,6.9
Anon#526,Math,5,1,145,0.00684931506849315,14.5
Anon#612,Math,6,24,99,0.1951219512195122,9.9
Anon#640,Math,4,141,4,0.9724137931034482,0.4
Anon#708,Math,3,4,153,0.025477707006369428,10.2
Anon#719,Math,2,62,75,0.45255474452554745,5
Anon#758,Math,4,31,114,0.21379310344827587,11.4
Anon#783,Math,0,0,141,0,9.4
Anon#783,Math,1,10,128,0.07246376811594203,8.533333333333333
Anon#783,Math,2,21,116,0.15328467153284672,7.733333333333333
Anon#804,Math,8,40,76,0.3448275862068966,15.2
Anon#843,Math,3,148,9,0.9426751592356688,0.6
Anon#859,Math,2,15,122,0.10948905109489052,8.133333333333333
Anon#996,Math,2,11,126,0.08029197080291971,8.4
Anon#1044,Math,3,57,100,0.3630573248407643,6.666666666666667
Anon#1046,Math,1,18,120,0.13043478260869565,8
Anon#1064,Math,9,8,108,0.06896551724137931,21.6
Anon#1073,Math,3,19,138,0.12101910828025478,9.2
Anon#1099,Math,3,22,135,0.14012738853503184,9
Anon#1100,Math,5,15,131,0.10273972602739725,13.1
Anon#1240,Math,3,6,151,0.03821656050955414,10.066666666666666
Anon#1338,Math,4,71,74,0.4896551724137931,7.4
Anon#1445,Math,6,23,100,0.18699186991869918,10
Anon#1587,Math,3,23,134,0.1464968152866242,8.933333333333334
Anon#1705,Math,6,88,35,0.7154471544715447,3.5
Anon#1803,Math,6,103,20,0.8373983739837398,2
Anon#1807,Math,5,23,123,0.15753424657534246,12.3
Anon#1832,Math,8,51,65,0.4396551724137931,13
Anon#1858,Math,0,2,139,0.014184397163120567,9.266666666666667
Anon#1871,Math,3,95,62,0.6050955414012739,4.133333333333334
Anon#1897,Math,4,29,116,0.2,11.6
Anon#1903,Math,1,12,126,0.08695652173913043,8.4
Anon#1920,Math,3,92,65,0.5859872611464968,4.333333333333333
Anon#1921,Math,8,55,61,0.47413793103448276,12.2
Anon#1926,Math,4,1,144,0.006896551724137931,14.4
Anon#1981,Math,3,31,126,0.19745222929936307,8.4
Anon#2092,Math,5,7,139,0.04794520547945205,13.9
Anon#2312,Math,5,43,103,0.2945205479452055,10.3
Anon#2318,Math,4,19,126,0.1310344827586207,12.6
Anon#2402,Math,4,31,114,0.21379310344827587,11.4
Anon#035,Science,6,43,46,0.48314606741573035,9.2
Anon#035,Science,7,19,58,0.24675324675324675,11.6
Anon#035,Science,8,2,52,0.037037037037037035,10.4
Anon#153,Science,4,4,57,0.06557377049180328,11.4
Anon#306,Science,0,0,3,0,0.3
Anon#306,Science,3,27,53,0.3375,10.6
Anon#336,Science,6,79,10,0.8876404494382022,2
Anon#345,Science,3,8,72,0.1,14.4
Anon#392,Science,1,0,11,0,1.1
Anon#392,Science,2,3,38,0.07317073170731707,3.8
Anon#392,Science,3,2,78,0.025,15.6
Anon#397,Science,4,10,51,0.16393442622950818,10.2
Anon#450,Science,1,0,11,0,1.1
Anon#450,Science,2,7,34,0.17073170731707318,3.4
Anon#450,Science,4,45,16,0.7377049180327869,3.2
Anon#522,Science,5,22,38,0.36666666666666664,7.6
Anon#804,Science,7,70,7,0.9090909090909091,1.4
Anon#804,Science,8,48,6,0.8888888888888888,1.2
Anon#813,Science,6,81,8,0.9101123595505618,1.6
Anon#846,Science,3,28,52,0.35,10.4
Anon#859,Science,3,9,71,0.1125,14.2
Anon#1099,Science,3,26,54,0.325,10.8
Anon#1445,Science,6,20,69,0.2247191011235955,13.8
Anon#1587,Science,3,17,63,0.2125,12.6
Anon#1803,Science,6,13,76,0.14606741573033707,15.2
Anon#1807,Science,5,13,47,0.21666666666666667,9.4
Anon#1897,Science,3,29,51,0.3625,10.2
Anon#1903,Science,3,5,75,0.0625,15
Anon#1920,Science,4,4,57,0.06557377049180328,11.4
Anon#1981,Science,3,20,60,0.25,12
Anon#2193,Science,3,5,75,0.0625,15
Anon#2312,Science,6,29,60,0.3258426966292135,12
Anon#2409,Science,7,68,9,0.8831168831168831,1.8
Anon#612,Social Studies,5,42,24,0.6363636363636364,4.8
