"ï»¿""Student""",Subject,Lessons Mastered,Levels Mastered vs. Target,Accuracy
Anon#035,Language,,0,1
Anon#035,Science,25,5.921364282330648,0.7954545454545454
Anon#043,Language,4,0.3333333333333333,0.6986301369863014
Anon#043,Math,4,0.3333333333333333,0.7089201877934272
Anon#043,Reading,13,1.625,0.7959183673469388
Anon#045,Reading,23,2.875,0.815625
Anon#051,Math,,0,
Anon#068,Math,8,0,0.8292682926829268
Anon#070,Math,,0,1
Anon#090,Math,2,0.25,0.8953488372093024
Anon#096,Math,5,0.625,0.8210526315789474
Anon#098,Math,8,1,0.75
Anon#104,Math,2,0.16666666666666666,0.9206896551724137
Anon#135,Math,4,0.5,0.6571428571428571
Anon#137,Reading,3,0.375,0.9444444444444444
Anon#147,Math,5,0.625,0.717948717948718
Anon#153,Language,2,0.5,0.7913669064748201
Anon#153,Science,1,0.25,1
Anon#220,Math,10,1.25,0.9696969696969697
Anon#224,Math,,0,0.8260869565217391
Anon#251,Math,2,0.16666666666666666,0.7719298245614035
Anon#276,Math,6,0.5,0.9388888888888889
Anon#285,Language,5,1.25,0.8418803418803419
Anon#285,Math,12,1.5,0.9177631578947368
Anon#285,Reading,3,0.375,0.765625
Anon#285,Science,1,0.1500060002400096,0.9318181818181818
Anon#288,Language,,0,0.775
Anon#288,Math,,0,0.7692307692307693
Anon#306,Language,,0,
Anon#306,Math,10,0.8333333333333334,0.8913738019169329
Anon#306,Reading,1,0.125,0.8
Anon#306,Science,3,1.0501260151218148,0.819047619047619
Anon#329,Math,9,1.125,0.9420289855072463
Anon#334,Math,2,0.25,0.8541666666666666
Anon#332,Math,8,1,0.9215686274509803
Anon#336,Math,1,0.125,0.8811475409836066
Anon#336,Science,3,1.125112511251125,0.7701149425287356
Anon#345,Science,3,0.5,1
Anon#347,Math,4,0.5,0.9180327868852459
Anon#353,Math,0,0,0.9230769230769231
Anon#374,Math,1,0.08333333333333333,0.7096774193548387
Anon#384,Language,2,0.16666666666666666,0.9032258064516129
Anon#392,Language,4,0.5,0.8064516129032258
Anon#392,Math,7,0.5833333333333334,0.9090909090909091
Anon#392,Reading,14,1.75,0.9233449477351916
Anon#392,Science,7,0.875,0.8552631578947368
Anon#392,Social Studies,1,0,0.9523809523809523
Anon#395,Math,1,0.08333333333333333,0.9714285714285714
Anon#397,Language,3,0.75,0.811704834605598
Anon#397,Math,15,1.25,0.810207336523126
Anon#397,Reading,0,0,0.75
Anon#397,Science,8,2.333450005833625,0.7168284789644013
Anon#405,Language,,0,0.5
Anon#450,Language,9,2.25,0.9206349206349206
Anon#450,Math,4,0.5,0.8916666666666667
Anon#450,Science,15,2.678571428571429,0.8315789473684211
Anon#462,Language,8,1.400070003500175,0.7751479289940828
Anon#462,Science,,0,
Anon#472,Math,1,0.125,0.8571428571428571
Anon#482,Math,38,4.75,0.8551068883610451
Anon#489,Math,12,1.5,0.8509615384615384
Anon#497,Math,8,1,0.9041095890410958
Anon#498,Math,8,1,0.8983050847457628
Anon#501,Math,3,0.375,0.8571428571428571
Anon#522,Reading,2,0.25,0.8823529411764706
Anon#522,Science,1,0.25,0.7777777777777778
Anon#526,Math,1,0.125,0.8888888888888888
Anon#532,Math,5,0.625,0.9322033898305084
Anon#553,Math,2,0.25,0.8235294117647058
Anon#612,Language,,0,
Anon#612,Math,5,0.625,0.7876447876447876
Anon#612,Science,,0,0.7142857142857143
Anon#612,Social Studies,1,0,0.6060606060606061
Anon#612,Writing,0,0,0.5
Anon#631,Math,7,0,0.8913043478260869
Anon#636,Math,24,0,0.9803921568627451
Anon#640,Math,2,0.25,0.8372093023255814
Anon#647,Math,20,2.5,0.8988095238095238
Anon#708,Language,,0,
Anon#708,Math,1,0.08333333333333333,0.9411764705882353
Anon#708,Reading,5,0.3125,0.65
Anon#710,Language,2,0.5,0.9365079365079365
Anon#710,Math,19,0,0.905982905982906
Anon#719,Language,,0,0.96
Anon#758,Math,3,0.3333333333333333,0.6534653465346535
Anon#778,Reading,11,1.375,0.948051948051948
Anon#783,Language,34,2.8333333333333335,0.8881118881118881
Anon#783,Math,20,1.6666666666666667,0.9166666666666666
Anon#783,Reading,3,0.375,0.7586206896551724
Anon#791,Reading,0,0,1
Anon#804,Language,6,1.5,0.958904109589041
Anon#804,Math,6,1.5,0.841726618705036
Anon#804,Reading,4,0.5,0.9148936170212766
Anon#804,Science,6,2,0.8141592920353983
Anon#813,Language,2,0.5,0.8169934640522876
Anon#813,Math,,0,0.75
Anon#813,Reading,3,0.375,0.8181818181818182
Anon#813,Science,4,1,0.85
Anon#822,Math,7,0.875,0.967032967032967
Anon#843,Language,2,0.25,0.7931034482758621
Anon#843,Math,1,0.08333333333333333,0.9038461538461539
Anon#846,Language,3,0.375,0.8292682926829268
Anon#846,Math,,0,0.6666666666666666
Anon#846,Reading,2,0.25,0.7916666666666666
Anon#846,Science,4,1,0.826530612244898
Anon#848,Math,30,3.75,0.9652777777777778
Anon#859,Language,1,0.09090909090909091,1
Anon#859,Reading,0,0,0.8571428571428571
Anon#859,Science,1,0.125,0.9090909090909091
Anon#875,Language,1,0.25,0.8157894736842105
Anon#875,Reading,1,0.125,0.8333333333333334
Anon#875,Science,,0,0.9056603773584906
Anon#878,Math,5,0.625,0.9032258064516129
Anon#887,Math,57,7.125,0.9742857142857143
Anon#891,Math,29,3.625,0.9144736842105263
Anon#910,Math,,0,0
Anon#919,Math,7,0.875,0.9803921568627451
Anon#937,Math,42,0,0.8154981549815498
Anon#996,Language,2,0.16666666666666666,0.9285714285714286
Anon#996,Math,1,0.08333333333333333,0.7037037037037037
Anon#996,Science,,0,
Anon#1044,Language,1,0.25,0.8947368421052632
Anon#1044,Math,1,0.08333333333333333,0.6111111111111112
Anon#1044,Reading,1,0.125,1
Anon#1046,Language,1,0.08333333333333333,0.9230769230769231
Anon#1046,Math,1,0.08333333333333333,1
Anon#1046,Reading,1,0.125,0.9090909090909091
Anon#1050,Language,1,0.25,0.8918918918918919
Anon#1050,Math,1,0.125,0.84375
Anon#1064,Math,1,0.25,1
Anon#1073,Language,2,0.25,1
Anon#1073,Math,9,0.75,0.9723502304147466
Anon#1073,Reading,1,0.125,1
Anon#1073,Science,2,0.5,0.9
Anon#1088,Math,18,2.25,0.9266666666666666
Anon#1093,Language,2,0.5,0.9142857142857143
Anon#1093,Reading,5,0.625,0.8604651162790697
Anon#1093,Science,,0,0.6
Anon#1099,Language,2,0.25,0.9473684210526315
Anon#1099,Math,1,0.08333333333333333,0.7868852459016393
Anon#1099,Reading,2,0.25,0.896551724137931
Anon#1099,Science,1,0.25,0.9090909090909091
Anon#1100,Language,2,0.5,0.6339869281045751
Anon#1100,Math,12,1.5,0.8596059113300493
Anon#1114,Reading,0,0,0.3333333333333333
Anon#1120,Math,26,3.25,0.9005847953216374
Anon#1122,Math,5,0.625,0.8333333333333334
Anon#1143,Math,2,0.25,0.978021978021978
Anon#1145,Math,7,0.875,1
Anon#1154,Language,2,0.2,0.8793103448275862
Anon#1154,Reading,0,0,0.8048780487804879
Anon#1164,Math,3,0.375,1
Anon#1176,Math,0,0,0.8888888888888888
Anon#1184,Math,66,8.25,0.8721109399075501
Anon#1185,Math,81,10.125,0.8712998712998713
Anon#1208,Math,8,1,0.8395989974937343
Anon#1232,Math,1,0.125,0.625
Anon#1237,Language,,0,0.5625
Anon#1237,Math,,0,1
Anon#1240,Math,2,0.16666666666666666,0.8780487804878049
Anon#1253,Math,6,0.75,0.9473684210526315
Anon#1326,Language,4,1,0.9719626168224299
Anon#1338,Math,4,0.5,0.918918918918919
Anon#1372,Math,25,3.125,0.9580838323353293
Anon#1387,Science,,0,0.8571428571428571
Anon#1399,Math,,0,
Anon#1407,Math,2,0.25,1
Anon#1410,Math,0,0,1
Anon#1422,Math,51,6.375,0.9034090909090909
Anon#1445,Math,12,1.5,0.8926380368098159
Anon#1445,Science,8,2.5,0.8276923076923077
Anon#1455,Math,13,1.625,0.8285714285714286
Anon#1478,Reading,0,0,1
Anon#1522,Math,4,0.5,0.9411764705882353
Anon#1524,Reading,1,0.125,1
Anon#1529,Math,23,2.875,0.8267716535433071
Anon#1547,Math,0,0,
Anon#1551,Math,32,4,0.9137055837563451
Anon#1563,Math,10,1.25,0.8317307692307693
Anon#1583,Math,4,0.5,0.7391304347826086
Anon#1587,Language,,0,0.696969696969697
Anon#1587,Math,4,0.3333333333333333,0.9655172413793104
Anon#1587,Reading,1,0.125,0.6428571428571429
Anon#1587,Science,2,0.5,0.9629629629629629
Anon#1589,Math,15,1.875,0.8145695364238411
Anon#1601,Math,4,0.5,1
Anon#1604,Math,11,1.375,0.9240506329113924
Anon#1634,Math,15,1.875,0.9318181818181818
Anon#1638,Math,6,0.75,0.8387096774193549
Anon#1645,Math,67,8.375,0.981651376146789
Anon#1705,Math,2,0.25,0.8235294117647058
Anon#1760,Math,0,0,1
Anon#1803,Math,10,1.25,0.875
Anon#1803,Science,5,2.5,0.815028901734104
Anon#1807,Language,2,0.5,0.9636363636363636
Anon#1807,Math,2,0.25,0.8490566037735849
Anon#1807,Reading,3,0.375,0.7317073170731707
Anon#1807,Science,2,0.5,0.8888888888888888
Anon#1814,Math,3,0.375,0.8181818181818182
Anon#1819,Math,0,0,1
Anon#1832,Language,2,0.5,0.6395348837209303
Anon#1832,Math,4,0.8333333333333334,0.7208791208791209
Anon#1832,Reading,4,0.5,0.7254901960784313
Anon#1832,Science,,0,0.8333333333333334
Anon#1845,Math,9,1.125,0.9444444444444444
Anon#1847,Math,9,1.125,0.98
Anon#1858,Math,1,0.08333333333333333,0.8
Anon#1871,Language,3,0.375,0.8282828282828283
Anon#1871,Math,6,0.5,0.951048951048951
Anon#1882,Math,35,0,0.7668161434977578
Anon#1897,Language,4,1,0.8415300546448088
Anon#1897,Math,5,0.625,0.9117647058823529
Anon#1897,Reading,2,0.25,0.8095238095238095
Anon#1897,Science,1,0.25,0.7952755905511811
Anon#1903,Language,13,1.0833333333333333,0.8555758683729433
Anon#1903,Math,8,0.6666666666666666,0.86328125
Anon#1903,Reading,0,0,0.48
Anon#1903,Science,5,1.25,0.7985611510791367
Anon#1917,Math,9,1.125,0.8603351955307262
Anon#1920,Language,3,0.75,0.9625
Anon#1920,Math,4,0.3333333333333333,0.8571428571428571
Anon#1920,Reading,1,0.125,0.8888888888888888
Anon#1920,Science,1,0.16666666666666666,0.9636363636363636
Anon#1921,Language,1,0.25,0.96
Anon#1921,Math,1,0.25,0.7692307692307693
Anon#1921,Reading,1,0.125,0.8888888888888888
Anon#1921,Science,,0,0.8571428571428571
Anon#1921,Social Studies,,0,0.868421052631579
Anon#1926,Math,1,0.125,0.9705882352941176
Anon#1935,Math,29,3.625,0.8461538461538461
Anon#1946,Math,6,0.75,0.9
Anon#1951,Math,8,1,0.7640449438202247
Anon#1958,Math,0,0,0.8888888888888888
Anon#1965,Math,4,0.5,0.896551724137931
Anon#1966,Math,7,0.875,0.972972972972973
Anon#1978,Math,5,0.625,0.9534883720930233
Anon#1981,Language,3,0.375,0.7922077922077922
Anon#1981,Math,4,0.3333333333333333,0.8108108108108109
Anon#1981,Reading,3,0.375,0.7954545454545454
Anon#1981,Science,5,1,0.7714285714285715
Anon#1985,Reading,0,0,0.6666666666666666
Anon#2008,Reading,0,0,0.6595744680851063
Anon#2092,Language,9,1.125,0.9466666666666667
Anon#2092,Math,3,0.375,0.9583333333333334
Anon#2092,Science,,0,0.8205128205128205
Anon#2101,Math,2,0.25,0.8947368421052632
Anon#2108,Math,2,0.25,0.7777777777777778
Anon#2119,Math,,0,
Anon#2185,Math,0,0,0.8
Anon#2193,Science,2,0.5,0.8627450980392157
Anon#2212,Math,11,1.375,0.8588235294117647
Anon#2227,Math,46,5.75,0.9090909090909091
Anon#2228,Math,0,0,
Anon#2229,Math,3,0.375,0.8888888888888888
Anon#2245,Math,7,0.875,0.8785046728971962
Anon#2253,Math,0,0,0.8991228070175439
Anon#2272,Math,0,0,0.967032967032967
Anon#2290,Math,7,0.875,0.8395061728395061
Anon#2292,Math,4,0.5,0.9411764705882353
Anon#2301,Math,1,0.125,0.7058823529411765
Anon#2304,Math,0,0,
Anon#2307,Math,12,1.5,0.75
Anon#2308,Math,8,1,0.9393939393939394
Anon#2312,Language,2,0.5,0.9
Anon#2312,Math,1,0.125,1
Anon#2312,Reading,1,0.125,0.875
Anon#2312,Science,4,1.5001500150015001,0.8615384615384616
Anon#2318,Language,9,0.75,0.9214285714285714
Anon#2318,Math,1,0.125,0.7586206896551724
Anon#2318,Reading,3,0.375,0.7027027027027027
Anon#2334,Math,13,1.625,0.8951048951048951
Anon#2338,Math,3,0.375,1
Anon#2360,Math,7,0.875,0.9714285714285714
Anon#2361,Math,0,0,0.6363636363636364
Anon#2364,Math,2,0.25,0.9333333333333333
Anon#2379,Math,0,0,0.7441860465116279
Anon#2402,Language,4,0.8333333333333334,0.8372093023255814
Anon#2402,Math,4,0.5,0.8686868686868687
Anon#2402,Reading,3,0.375,0.9230769230769231
Anon#2409,Science,2,0.7500750075007501,0.7592592592592593
